id,val_niveltensao,idh
MUSSURE II,230,0.698
MUTUM,500,0.774
N.P.PRIMAVERA,440,0.806
N.PETROPOLIS2,230,0.771
NARANDIBA,230,0.691
NATAL II,230,0.728
NATAL III,230,0.728
NEVES 1,500,0.774
NILO PECANHA,230,0.762
NIQUELANDIA,230,0.737
NOBRES,230,0.736
NORDESTE,345,0.806
NORFIL,230,0.698
NORTE,345,0.806
NOVA ERA 2,230,0.774
NOVA IGUACU,500,0.762
NOVA LIMA 6,345,0.774
NOVA MUTUM,230,0.736
NOVA PONTE,500,0.774
NOVA PONTE 3,500,0.774
NOVA PRATA 2,230,0.771
NOVA STA RITA,500,0.771
NSA.SRA.SOCORRO,230,0.702
OESTE,440,0.806
OLINDINA,500,0.691
ONCA PUMA,230,0.69
ORIXIMINA,500,0.69
OSORIO 2,230,0.771
OSORIO 3,230,0.771
OURO PRETO 2,500,0.774
OUROLANDIA II,500,0.691
P. AFONSO IV_SE,500,0.691
P. COLOMBIA,345,0.774
P. JUSCELINO,500,0.774
P. PRIMAVERA,440,0.806
P.AFONSO III,230,0.691
P.DUTRA,500,0.676
P.PETROQUIMIC,230,0.771
PACATUBA,500,0.734
PADRE FIALHO,345,0.774
PALHOCA  ESU,230,0.792
PALMAS,230,0.731
PALMEIRAS,230,0.737
PAR.PAULISTA2,230,0.806
PARACATU 4,500,0.774
PARAISO,230,0.728
PARAISO 2,230,0.742
PARANAIBA,230,0.737
PARANAITA,500,0.736
PARANATINGA,500,0.736
PARANAVAI NOR,230,0.769
PARECIS,230,0.736
PARIGOT SOUZA,230,0.769
PARINTINS,230,0.7
PARNAIBA III,500,0.69
PASSO FUNDO,230,0.771
PASSO REAL,230,0.771
PATO BRANCO,230,0.769
PAU FERRO,500,0.719
PBR CUBATAO,230,0.806
PE. PARAISO 2,500,0.774
PECEM II,500,0.734
PEIXE 2,500,0.731
PELOTAS3,230,0.771
PENEDO,230,0.684
PERITORO,230,0.676
PEROXIDOS,230,0.769
