nom_subestacao_de,nom_subestacao_para,val_niveltensao_kv,val_comprimento,val_resistencia,val_reatancia,val_shunt,val_capacoperlongasemlimit,val_capacoperlongacomlimit,val_capacopercurtasemlimit,val_capacopercurtacomlimit
FORTALEZA,FORTALEZA II,230,0.35,0.0026,0.0188,0.06,1610,1200,1884,1200
FORTALEZA II,MARACANAU II,230,20.6,0.199,1.38,5.106,1196,1196,1507,1507
FORTALEZA II,PICI II,230,25,0.41,1.96,6.52,910,910,1147,1147
FORTALEZA II,PICI II,230,25,0.41,1.96,6.52,910,910,1147,1147
IBIAPINA II,MARANGATU,230,47,0.3079,3.0854,11.81,1575,1575,1960,1960
IBIAPINA II,PIRIPIRI,230,85.8,1.64,8.44,14.56,500,500,630,595
IBIAPINA II,SOBRAL II,230,101.98,1.968,10.059,17.66,500,500,630,595
IBIAPINA II,TIANGUA II,230,25.76,0.1694,1.6904,6.556,1570,1570,1975,1975
IBIAPINA II,TIANGUA II,230,26,0.1694,1.6904,6.556,1570,1570,1975,1975
ICO,MILAGRES,230,103.4,1.7,7.22,25.08,810,810,810,810
JAGUARUANA II,MOSSORO IV,230,49.52,0.3235,3.2732,12.506,1485,1485,1875,1875
JAGUARUANA II,MOSSORO IV,230,49.52,0.3235,3.2732,12.506,1485,1485,1875,1875
JAGUARUANA II,RUSSAS II,230,36.9,0.2398,2.437,9.226,1450,1450,1825,1825
MAURITI II,BOM NOME,230,86.03,1.1328,5.5682,21.07,1003,1003,1003,1003
MAURITI II,MILAGRES,230,28.02,0.3807,2.12,8.336,1003,1003,1003,1003
MILAGRES,BANABUIU,230,225.9,4.05,21.89,38.24,437,437,621,437
MILAGRES,BANABUIU,230,225.1,3.61,15.47,55.14,810,810,810,810
MILAGRES,COREMAS,230,110,2.2,11.64,20.3,730,730,730,730
MILAGRES,COREMAS,230,119.4,2.19,11.65,20.24,631,631,795,795
QUIXERE,RUSSAS II,230,25.077,0.47,2.5,4.32,631,631,795,795
SOBRAL II,SOBRAL III,230,13.9,0.09,0.91,3.5,1478,1478,1862,1560
SOBRAL II,SOBRAL III,230,13.9,0.09,0.91,3.5,1478,1478,1862,1560
BRAS. GERAL,BRAS. SUL,230,13,0.19,1.26,2.23,649,649,817,800
BRAS. GERAL,BRAS. SUL,230,13,0.26,1.3,2.23,555,555,699,699
BRAS. GERAL,BRAS. SUL,230,13.5,0.066,0.495,56.28,725,725,845,845
BRAS. SUL,AGUAS LINDAS,230,30,0.35,2.75,5.17,714,714,900,900
BRAS. SUL,PIRINEUS,230,107,2.163,10.699,17.38,555,555,699,699
LINHARES,MASCARENHAS,230,99,1.108,8.355,16.7,640,640,805,805
LINHARES,SAO MATEUS 2,230,113,1.6107,9.5032,17.23,755,755,950,950
MASCARENHAS,VERONA,230,107,1.89,10.44,28.84,590,590,744,744
ANHANGUERA,BANDEIRANTES,230,0.1,0.001,0.01,0,1876,1876,2239,2239
ANHANGUERA,BANDEIRANTES,230,0.1,0.001,0.01,0,1876,1876,2239,2239
ANHANGUERA,C. DOURADA,230,198,4.16,19.43,32.12,550,550,550,550
